NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지,대지위치_표제부,도로명대지위치_표제부,매칭단계
1,서울특별시 중구 회현동1가,일반,서울특별시 중구 회현동1가 133-1번지,서울특별시 중구 소공로3길 42 (회현동1가),제2종일반주거,숙박,8m미만,2085.8,837.7,"1,550,000",,법인,개인,202602,3,,1958.0,-,중개거래,경기 부천시 소사구,서울특별시 중구 회현동1가 133-1번지,서울특별시 중구 소공로3길 42 (회현동1가),2단계: 건축년도+연면적
2,서울특별시 성북구 정릉동,일반,서울특별시 강남구 논현동 173-21번지,서울특별시 강남구 봉은사로11길 52 (논현동),제1종일반주거,제2종근린생활,8m미만,586.13,209.4,"110,000",,개인,개인,202602,3,지분,2004.0,-,직거래,-,서울특별시 강남구 논현동 173-21번지,서울특별시 강남구 봉은사로11길 52 (논현동),3단계: 오차범위±10%
3,서울특별시 송파구 가락동,집합,35065,송파대로32길,제3종일반주거,판매,12m미만,7.19, ,"7,300",,개인,개인,202602,3,,1986.0,-,중개거래,서울 송파구,,,매칭실패
4,서울특별시 서초구 서초동,집합,1600-11,서초중앙로,일반상업,업무,25m이상,10.15, ,"5,000",5.0,개인,개인,202602,2,,2005.0,-,중개거래,서울 서초구,,,매칭실패
5,서울특별시 중구 인현동1가,집합,158,충무로,일반상업,숙박,25m미만,18.16, ,"28,300",7.0,개인,개인,202602,2,,2020.0,-,중개거래,서울 중구,,,매칭실패
6,서울특별시 성동구 성수동2가,일반,서울특별시 성동구 성수동2가 213-10번지,서울특별시 성동구 둘레23길 14 (성수동2가),제3종일반주거,제1종근린생활,12m미만,44.18,53,"273,000",,개인,개인,202602,2,,1995.0,-,중개거래,"서울 성동구, 서울 용산구",서울특별시 성동구 성수동2가 213-10번지,서울특별시 성동구 둘레23길 14 (성수동2가),1단계: 정확매칭
7,서울특별시 중구 신당동,일반,서울특별시 중구 신당동 366-38번지,서울특별시 중구 다산로 88 (신당동),제3종일반주거,제2종근린생활,25m이상,359.1,185,"565,000",,법인,법인,202602,2,,1989.0,-,중개거래,서울 강남구,서울특별시 중구 신당동 366-38번지,서울특별시 중구 다산로 88 (신당동),1단계: 정확매칭
8,서울특별시 중구 충무로4가,집합,308,충무로2길,일반상업,숙박,12m미만,23.62, ,"28,000",7.0,개인,개인,202602,2,,2023.0,-,중개거래,서울 중구,,,매칭실패
9,서울특별시 종로구 수송동,일반,4*,율곡로4길,일반상업,숙박,8m미만,618.32,87.53,"355,608",,개인,개인,202602,2,지분,1969.0,-,직거래,-,,,매칭실패
10,서울특별시 중구 을지로6가,집합,18-35,장충단로,일반상업,판매,25m이상,3.77, ,"3,000",,개인,개인,202602,2,,2002.0,-,직거래,-,,,매칭실패
11,서울특별시 성북구 돈암동,집합,644,아리랑로,제1종일반주거,제2종근린생활,25m이상,167.36, ,"96,000",1.0,개인,개인,202601,31,,2016.0,-,중개거래,서울 성동구,,,매칭실패
12,서울특별시 도봉구 창동,집합,333-1,노해로65길,일반상업,제2종근린생활,12m미만,160.15, ,"9,000",,개인,개인,202601,31,,1995.0,-,직거래,-,,,매칭실패
13,서울특별시 종로구 내수동,집합,72,사직로8길,준주거,제2종근린생활,25m미만,19.31, ,"5,000",,개인,개인,202601,31,,2004.0,-,중개거래,서울 종로구,,,매칭실패
14,서울특별시 종로구 내수동,집합,72,사직로8길,준주거,제2종근린생활,25m미만,21.06, ,"5,000",,개인,개인,202601,31,,2004.0,-,중개거래,서울 종로구,,,매칭실패
15,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"2,500",61.0,개인,개인,202601,31,,2005.0,-,직거래,-,,,매칭실패
16,서울특별시 광진구 능동,집합,315-21,천호대로110길,제2종일반주거,제1종근린생활,8m미만,30.52, ,"19,800",1.0,개인,개인,202601,31,,2017.0,-,중개거래,서울 광진구,,,매칭실패
17,서울특별시 강동구 명일동,집합,260-1,상암로,제3종일반주거,제1종근린생활,25m미만,7.04, ,"3,000",,개인,개인,202601,31,지분,,-,중개거래,서울 강동구,,,매칭실패
18,서울특별시 영등포구 도림동,집합,819,도영로,준공업,업무,25m이상,29.38, ,"14,000",9.0,개인,개인,202601,30,,2004.0,-,직거래,-,,,매칭실패
19,서울특별시 강남구 대치동,일반,서울특별시 강남구 대치동 949번지,서울특별시 강남구 영동대로75길 9 (대치동),제3종일반주거,제2종근린생활,12m미만,2494.69,576.2,"2,820,000",,법인,개인,202601,30,,1989.0,-,중개거래,서울 강남구,서울특별시 강남구 대치동 949번지,서울특별시 강남구 영동대로75길 9 (대치동),1단계: 정확매칭
20,서울특별시 종로구 혜화동,집합,185,대학로,제3종일반주거,제1종근린생활,25m이상,10.53, ,"6,500",2.0,개인,개인,202601,30,,1994.0,-,직거래,-,,,매칭실패
21,서울특별시 성동구 성수동2가,일반,서울특별시 성동구 성수동2가 316-34번지,서울특별시 성동구 연무장길 41-9 (성수동2가),준공업,제2종근린생활,8m미만,65.88,109.8,"575,000",,법인,개인,202601,30,,1971.0,-,중개거래,서울 성동구,서울특별시 성동구 성수동2가 316-34번지,서울특별시 성동구 연무장길 41-9 (성수동2가),1단계: 정확매칭
22,서울특별시 광진구 자양동,집합,695,구의강변로,제3종일반주거,판매,25m미만,13.02, ,"97,000",,개인,법인,202601,30,,1983.0,-,중개거래,서울 송파구,,,매칭실패
23,서울특별시 동대문구 제기동,집합,1140-5,왕산로,일반상업,판매,25m이상,4.86, ,500,,개인,개인,202601,30,,2007.0,-,직거래,-,,,매칭실패
24,서울특별시 양천구 신월동,집합,547-7,남부순환로,준주거,업무,25m이상,27.3, ,"6,000",5.0,개인,개인,202601,29,,1996.0,-,직거래,-,,,매칭실패
25,서울특별시 도봉구 창동,집합,4,마들로11가길,일반상업,제2종근린생활,12m미만,50.82, ,"16,200",4.0,개인,개인,202601,29,,1992.0,-,중개거래,서울 도봉구,,,매칭실패
